date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:30	4000/4000	---MCZ	200	added ('OK')	application/javascript	etag:W/%22581aa3a2-fa0%22	http://dark.paul-themes.com/wp/bauhaus/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-includes/js/jquery/ui/core.mine899.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:31	2370/2370	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ac20b62-f9a%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/main.js?ver=1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/main68b3.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:32	5615/5615	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258ec8b60-15ef%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/animsition.min.js?ver=1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/animsition.min68b3.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:35	10926/10926	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258ec8b60-52a7%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/smoothscroll.js?ver=1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/smoothscroll68b3.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:35	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258ec8b60-90b5%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/bootstrap.min.js?ver=1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/bootstrap.min68b3.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:38	23070/23070	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258ec8b60-5a1e%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/jquery.validate.min.js?ver=1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/jquery.validate.min68b3.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:39	8432/8432	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258ec8b60-20f0%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/wow.min.js?ver=1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/wow.min68b3.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:40	212272/212272	---M--	200	added ('OK')	image/jpeg	etag:%22591af146-33d30%22	http://dark.paul-themes.com/wp/bauhaus/images_dark/2017/04/bg2-6.jpg	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/images_dark/2017/04/bg2-6.jpg	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:40	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258ec8b60-3135%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/jquery.stellar.min.js?ver=1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/jquery.stellar.min68b3.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:35:42	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258ec8b60-4ef8%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/jquery.magnific-popup.min.js?ver=1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/js/jquery.magnific-popup.min68b3.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
